budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,34314,"[{""id"": 2080, ""name"": ""stewardess""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 198541, ""name"": ""air marshal""}, {""id"": 207317, ""name"": ""christmas""}, {""id"": 208637, ""name"": ""turbulence""}]",en,Turbulence,"On a flight transporting dangerous convicts, murderer Ryan Weaver manages to break free and cause complete chaos throughout the plane. As various people on board fall victim to Weaver, it is ultimately down to flight attendant Teri Halloran to keep the aircraft from crashing, with on-ground support from an air traffic controller. While Halloran struggles to pilot the plane, Weaver continues to terrorize the surviving members of the crew.",4.700024,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Rysher Entertainment"", ""id"": 11661}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1/9/1997,11466088,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"If you weren't afraid of flying before, you will be now.",Turbulence,5.2,62
25000000,"[{""id"": 18, ""name"": ""Drama""}]",,866,"[{""id"": 212, ""name"": ""london england""}, {""id"": 388, ""name"": ""scotland""}, {""id"": 970, ""name"": ""parents kids relationship""}, {""id"": 1412, ""name"": ""becoming an adult""}, {""id"": 2486, ""name"": ""fantasy""}, {""id"": 2784, ""name"": ""mother role""}, {""id"": 3321, ""name"": ""childhood memory""}, {""id"": 3836, ""name"": ""success""}, {""id"": 4129, ""name"": ""widow""}, {""id"": 4326, ""name"": ""theatre play""}, {""id"": 4327, ""name"": ""stroke of fate""}, {""id"": 4328, ""name"": ""costume""}, {""id"": 4332, ""name"": ""peter pan""}, {""id"": 4333, ""name"": ""theatre group""}, {""id"": 4414, ""name"": ""adventure""}, {""id"": 4549, ""name"": ""loss of husband""}, {""id"": 5809, ""name"": ""marriage crisis""}, {""id"": 6034, ""name"": ""theatre milieu""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 6150, ""name"": ""faith""}, {""id"": 9457, ""name"": ""single""}, {""id"": 10707, ""name"": ""mother daughter relationship""}, {""id"": 10818, ""name"": ""author""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 40895, ""name"": ""illness""}, {""id"": 184989, ""name"": ""spectacle""}, {""id"": 208349, ""name"": ""child""}]",en,Finding Neverland,Finding Neverland is an amusing drama about how the story of Peter Pan and Neverland came to be. During a writing slump play writer J.M. Barrie meets the widowed Sylvia and her three children who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece “Peter Pan.”,34.160448,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Film Colony"", ""id"": 560}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/17/2004,116766556,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Where will your imagination take you?,Finding Neverland,7.2,1223
25000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",,619,"[{""id"": 1156, ""name"": ""sister sister relationship""}, {""id"": 1596, ""name"": ""anonymous letter""}, {""id"": 2992, ""name"": ""diva""}, {""id"": 3088, ""name"": ""bodyguard""}, {""id"": 3089, ""name"": ""oscar award""}, {""id"": 12670, ""name"": ""los angeles""}]",en,The Bodyguard,"A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.",26.576385,"[{""name"": ""Tig Productions"", ""id"": 335}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Kasdan Pictures"", ""id"": 13040}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/25/1992,411006740,129,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Never let her out of your sight. Never let your guard down. Never fall in love.,The Bodyguard,6.1,661
450000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,15624,"[{""id"": 811, ""name"": ""dialogue""}, {""id"": 814, ""name"": ""talking""}, {""id"": 3584, ""name"": ""bridesmaid""}, {""id"": 11327, ""name"": ""wedding reception""}, {""id"": 13027, ""name"": ""wedding""}, {""id"": 41354, ""name"": ""dialogue driven""}]",en,Conversations with Other Women,"Reunited at a wedding after many years, former lovers again feel the pull of a mutual attraction neither is willing to admit. Escaping the reception for the privacy of a hotel room, the unnamed pair explore the choices of the past that led them to the present.",4.442355,"[{""name"": ""Prophecy Pictures Ltd."", ""id"": 41047}, {""name"": ""Gordonstreet Pictures"", ""id"": 60473}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/7/2006,973525,84,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,There are two sides to every love story.,Conversations with Other Women,6.2,38
23000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",,10866,"[{""id"": 1981, ""name"": ""colorado""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 6844, ""name"": ""stalker""}, {""id"": 11794, ""name"": ""pokies""}, {""id"": 155497, ""name"": ""truck driver""}, {""id"": 155498, ""name"": ""cb radio""}, {""id"": 215191, ""name"": ""strange""}]",en,Joy Ride,"Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychotic killer.",11.183197,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""LivePlanet"", ""id"": 7161}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Bad Robot"", ""id"": 11461}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/5/2001,36642838,97,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"It was just a joke, just for fun.",Joy Ride,6.3,325
30000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",http://www.machinegunpreacher.org/movie/,45610,"[{""id"": 3058, ""name"": ""underage soldier""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Machine Gun Preacher,"The true story of Sam Childers, a former drug-dealing biker who finds God and became a crusader for hundreds of Sudanese children who've been kidnapped and pressed into duty as soldiers.",13.268936,"[{""name"": ""Mpower Pictures"", ""id"": 5294}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""1984 Private Defense Contractors"", ""id"": 8532}, {""name"": ""Virgin Produced"", ""id"": 8852}, {""name"": ""Moonlighting Films"", ""id"": 9137}, {""name"": ""Apparatus Productions"", ""id"": 11956}, {""name"": ""GG Filmz"", ""id"": 11957}, {""name"": ""ITS Capital"", ""id"": 11958}, {""name"": ""Merlina Entertainment"", ""id"": 11959}, {""name"": ""MGP Productions"", ""id"": 11960}, {""name"": ""Safady Entertainment"", ""id"": 11961}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/23/2011,2527904,129,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Hope is the greatest weapon of all,Machine Gun Preacher,6.4,286
32000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,59,"[{""id"": 642, ""name"": ""robbery""}, {""id"": 848, ""name"": ""double life""}, {""id"": 851, ""name"": ""dual identity""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 1447, ""name"": ""indiana""}, {""id"": 1448, ""name"": ""distrust""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 2801, ""name"": ""self-defense""}, {""id"": 6038, ""name"": ""marriage""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 10325, ""name"": ""mistaken identity""}, {""id"": 10738, ""name"": ""diner""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 18083, ""name"": ""attempted robbery""}]",en,A History of Violence,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,34.628738,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""DC Comics"", ""id"": 429}, {""name"": ""BenderSpink"", ""id"": 6363}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",9/23/2005,60740827,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Tom Stall had the perfect life... until he became a hero.,A History of Violence,6.9,832
50000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,2898,"[{""id"": 641, ""name"": ""single parent""}, {""id"": 828, ""name"": ""waitress""}, {""id"": 3568, ""name"": ""lone wolf""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 10226, ""name"": ""neighbor""}, {""id"": 10818, ""name"": ""author""}, {""id"": 13001, ""name"": ""cowardliness""}, {""id"": 13028, ""name"": ""writer""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 159317, ""name"": ""rude""}, {""id"": 159318, ""name"": ""obnoxious""}, {""id"": 167982, ""name"": ""unlikely friendship""}, {""id"": 228768, ""name"": ""noodle salad""}]",en,As Good as It Gets,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",37.885022,"[{""name"": ""Gracie Films"", ""id"": 18}, {""name"": ""TriStar Pictures"", ""id"": 559}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/19/1997,314178011,139,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A comedy from the heart that goes for the throat.,As Good as It Gets,7.2,915
55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 12, ""name"": ""Adventure""}]",,8195,"[{""id"": 90, ""name"": ""paris""}, {""id"": 254, ""name"": ""france""}, {""id"": 2001, ""name"": ""arms deal""}, {""id"": 10038, ""name"": ""audi""}, {""id"": 13068, ""name"": ""impostor""}, {""id"": 14678, ""name"": ""case""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 157168, ""name"": ""ice skating""}, {""id"": 157238, ""name"": ""computer expert""}, {""id"": 159669, ""name"": ""ex kgb""}, {""id"": 159679, ""name"": ""preparation""}, {""id"": 159684, ""name"": ""hit with a car door""}, {""id"": 159685, ""name"": ""cellular phone trace""}, {""id"": 159688, ""name"": ""merry go round""}]",en,Ronin,"A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or 'ronin', and gives them the thorny task of recovering the case.",32.657488,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""FGM Entertainment"", ""id"": 2347}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",9/25/1998,41610884,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Your ally could become your enemy.,Ronin,6.7,658
2400000,"[{""id"": 18, ""name"": ""Drama""}]",,49471,"[{""id"": 521, ""name"": ""washington d.c.""}, {""id"": 992, ""name"": ""bus""}, {""id"": 165461, ""name"": ""march""}]",en,Get on the Bus,"Get On the Bus follows several Black men on a cross country bus trip to the Million Man March. On the bus are an eclectic set of characters including a laid off aircraft worker, a former Gang Banger, a Hollywood actor, a cop who is of mixed racial background, and a White bus driver, all make the trek discussing issues surrounding the march, manhood, religion, politics, and race.",4.623059,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""40 Acres & A Mule Filmworks"", ""id"": 4319}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/16/1996,5731103,120,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"On October 16, 1996, the one year anniversary of the Million Man March, Spike Lee invites you to lift your head, raise your voice, and...get on the bus.",Get on the Bus,7,11
50000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",,181283,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 2111, ""name"": ""soviet union""}, {""id"": 2808, ""name"": ""russian""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 162365, ""name"": ""military""}, {""id"": 166109, ""name"": ""child murder""}, {""id"": 191543, ""name"": ""stalinism""}, {""id"": 208611, ""name"": ""1950s""}]",en,Child 44,"Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",40.371098,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Worldview Entertainment"", ""id"": 9015}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""RO"", ""name"": ""Romania""}]",3/15/2015,3324330,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,How do you find a killer who doesn’t exist?,Child 44,6.1,547
